"0","Habis Pilkada mesti pemerintah jual vaksin klo dah laku banyak ya bisa lah corona dianggap sepele"
"0","Pas mau pilkada tiba tiba corona menurun hahaha lucu kemaren maren kemana aja anjing Wkwk"
"1","Ayo Pilkada jangan takut Corona "
"0","Masyarakat menilai pilkada serentak sangat rawan terhadap penyebaran virus corona "
"0","Musim pilkada corona menurun musim vaksin corona meningkat "
"0","semakin sedikit tes semakin sedikit kasus semakin corona cepet selesai yok bisa yok pilkada dah dekat"
"1","Dalam situasi pandemi spt ini dituntut kesadaran dan kedisiplinan baik penyelenggara peserta Pilkada utk taat Prokes"
"0","Meskipun sesak bernafas namun Pilkada berlanjut tidak takut issu Corona bahkan Gempa ditantang Whay  "
"0","Begini jika kota yg di otak pemimpinnya yg sedang mencalonkan cuma ingin menangkan Pilkada masa bodoh dgn penanganan corona"
"1","Melalui pilkada yang fokus prokes maka akan cepat penangana corona Kita dorong cakada untuk kampanye penggunaan masker"
"1","Patuhi protokol kesehatan saat pilkada stop penyebaran virus corona"
"0","Daerah yang pilkada malah turun tuh tingkat infeksi Aneh kan"
"0","Pilkada Kan masih ada corona"
"0","Media ini menjelaskan begitu mengerikan covid19 atau corona wuhan Resikonya nyawa Rakyat Knp pilkada tak distop"
"0","Mahfud Sentil Jakarta Tak Gelar Pilkada Tapi Juara Corona"
"1","Pelanggaran prokes calon kepala daerah di Pilkada 2020 tak boleh dibiarkan meningkat Komitmen cakada sangat penting memang "
"1","paslon tidak cukup hanya melakukan upaya pencegahan penyebaran Corona namun harus membantu masyarakat agar bisa keluar dari pandemi"
"1","Ketaatan dan sosialisasi prokes sgt penting dalam memastikan Pilkada 2020 aman dari penularan corona"
"0","Pil KB bisa menunda beranak tapi PILKADA tidak bisa di tunda demi ANAK "
"1","Perlukah pilkada ditunda jika pilpres Amerika saja jalan terus"
"0","Tunda pilkada raja raja kecil yang ditawarkan partai partai politik dipilkada itu bukanlah solusi bagi persoalan2 rakyat"
"0","Tekan Penyebaran PPNI Jatim Minta Pemerintah Tunda Pilkada 2020"
"1","emang mau ditunda sampai kapan? ada kepastian pandemi berakhir "
"0","Dari berbagai usulan spt tunda pilkada tolak Omnibus Law cuma permintaan ini yg bisa difasilitasi  Hehehe "
"1","tunda pilkada tidak akan menyelesaikan masalah justru akan menimbulkan masalah baru "
"0","Pilkada Tunda 50 pilkada terus 43 Suara kita selalu sama dengan suara rakyat "
"0","Mayoritas rakyat baik didaerah yg pilkada maupun tdk menginginkan pilkada ditunda ya betul tdk perlu lg perdebatan"
"0","Pilkada pak tunda ngebet banget kaya kuku cantengan "
"1","Hal tsb tentu sudah diperhitungkan oleh bawaslu oleh karena itu bawaslu terapkan sanksi bagi pelangar prokes"
"1","Tidak ada alasan tunda pilkada pelanggar protokol kesehatan akan dapat sanksi"
"0","Dengan Maraknya praktik Patronase inilah yang dapat digunakan indikator mengapa Pilkada harus ditunda"
"1","Pilkada saat pandemi mungkin membahayakan tapi yang menolak pilkada karena pandemi belum tentu yang paling benar"
"1","sehabis pilkada corona bangkit lagi semoga tidak"
"1","Katanya Setelah pilkada corona selesai Klo itu obatnya ya lanjut lah Aku dah ndak tahan di luar kenormalan ini"
"0","Pilkada bisa di selengarakan tahun depan tapi menghentikan tangis anggota keluarganya akibat Corona harus di lakukan secepat mungkin"
"1","Jika pilkada ini sukses dengan patuh prokes ini bagus buat kita semua"
"0","Jusuf Kalla menilai Pilkada 2020 lebih baik diundur hingga vaksin corona ditemukan"
"1","bagi daerah yang menggelar pilkada semoga sukses dan pilihlah yg benar2 mampu membawa daerah masing2 ke arah yg lebih baik"
"1","Jika pilkada ini sukses dengan patuh prokes ini bagus buat kita semua"
"1","pilkada sukses semoga pemimpin baru lahir untuk rakyat "
"0","PKB Tunda Pilkada Jika Ingin Turunkan Kasus Corona"
"0","Emang bisa seanarkis apa sih indonesia kalau pilkada di tunda buat hal yang lebih urgent"
"0","pelanggar itu yang terdata sangat memungkinkan paslon di daerah yang jauh melakukan pelanggaran yang sama Tunda pilkada"
"1","tunda pilkada itu artinya pilkada hanya persoalan protokol kesehatan pilkada kali ini akan terapkan protokol kesehatan"
"0","Maruf Amin Lebih Pilih Tunda Pilkada 2020"
"0","Negara harus menjamin kesehatan warganya hal tersebut diatur dalam konstitusi kita oleh karena itu tidak ada alasan pilkada dilanjutkan"
"0","Apalagi ditambah dengan peristiwa pendaftaran kepala daerah kemarin tampak nyata bahwa protocol kesehatan sama sekali diabaikan"
"1","Kita bersyukur Pilkada 2020 yang diikuti 270 daerah berjalan dengan aman dan terkendali tanpa adanya gangguan"
"1","Kemarin pilkada aman ya"
"1","Alhamdulilah pelaksanaan pilkada serentak berjalan lancar aman damai dan sehat Ancaman pandemi covid 19 pun bisa dieleminir"
"1","Pilkada di tengah pandemi Covid 19 akan berjalan lancar asalkan mengikuti protokol"
"0","Tentang Pilkada serentak 2020 yg tetap di laksanakan Wapres Kalau saya sih lebih baik di tunda"
"0","Kalau kyai sudah bilang tunda ya tunda Jangan membangkang nanti kualat kamu Iya kamu yang ngotot ingin pilkada "
"0","Yai mbok mohon gih ke pak LBP dan bu Mega spy tunda dl pilkada"
"0","minim dana sih mending tunda pilkada "
"0","Maruf Amin Isyaratkan Untuk Tunda Pilkada 2020 "
"0","Piyeee mas Bro jokowi Wapresnya minta di tunda PILKADA jgn krn Ada ANAK MANTU IPAR BESAN Maju di Pilkada Kt Wapres"
"0","bersama para ulama yg mana pak ulama udah nyaranin tunda pilkada cabut omnibus dan gaada yg didengar"
"0","Maulid nabi dilarang Pilkades ditunda tapi Pilkada harus tetap jalan Gile lu ndro "
"0","Pak Kiyai MarufAmin menyarankan Pilkada di tunda dan setuju Liga 1 berjalan Auto jadi wapres 2 periode "
"0","Waduh pilkada lanjut pilkades tunda "
"0","Kue pak panjenengan ngomong kalih bose ben pilkada di tunda mawon"
"0","Hayu urang gerak tunda pilkada "
"0","wow wow Maulid ini pak Pilkades bapak tunda batalkan PILKADA gmn pak"
"1","Pilkada adalah PESTA rakyat yg membahagiakan Jadi jangan tunda kebahagiakan rakyat"
"1","pilkada tidak bisa ditunda lagi karena disaat seperti ini kita butuh pemimpin yg menghasilkan solusi "
"0","Demi Kemanusiaan Luhut Minta Demo Berhenti Sampai Kondisi Aman dari Corona Demi Kemanusiaan juga TUNDA PILKADA Sampai Kondisi memungkinkan"
"0","Tunda PILKADA gak mau di masa pandemi Jagalah birahi politik opung "
"1","Jika Pilkada Di Tunda Siapa Kah Yang Akan Bertanggung Jawab Gus"
"0","Tunda pilkada jagalah birahi politik "
"1","sukseskan Pilkada Serentak 2020 jangan lupa selalu terapkan protokol kesehatan"
"1","Dukung dan sukseskan Pilkada Serentak 2020 Gunakan hak pilih jangan lupa selalu terapkan protokol kesehatan "
"1","Patuhi Protokol Kesehatan Pencegahan Covid 19 dalam Pilkada serentak 2020 "
"1","Apapun Pilihanmu Jaga Persatuan dan Patuhi Protokol Kesehatan Yuk gunakan hak pilih dalam Pilkada 2020 dengan sebaik baiknya"
